Time Interval,Reserve Type,Type of Product,Source,Up price,Down Price,Currency,Price type
06.01.2024 19:00 - 06.01.2024 20:00 (CET/CEST),mFRR,Not Specified,Not specified,119.0,102.27,EUR,MARGINAL
06.01.2024 20:00 - 06.01.2024 21:00 (CET/CEST),mFRR,Not Specified,Not specified,104.0,94.98,EUR,MARGINAL
06.01.2024 21:00 - 06.01.2024 22:00 (CET/CEST),mFRR,Not Specified,Not specified,92.0,90.63,EUR,MARGINAL
06.01.2024 22:00 - 06.01.2024 23:00 (CET/CEST),mFRR,Not Specified,Not specified,89.34,89.34,EUR,MARGINAL
06.01.2024 23:00 - 07.01.2024 00:00 (CET/CEST),mFRR,Not Specified,Not specified,82.8,82.8,EUR,MARGINAL
07.01.2024 00:00 - 07.01.2024 01:00 (CET/CEST),mFRR,Not Specified,Not specified,100.0,86.15,EUR,MARGINAL
07.01.2024 01:00 - 07.01.2024 02:00 (CET/CEST),mFRR,Not Specified,Not specified,100.0,82.46,EUR,MARGINAL
07.01.2024 02:00 - 07.01.2024 03:00 (CET/CEST),mFRR,Not Specified,Not specified,96.0,79.22,EUR,MARGINAL
07.01.2024 03:00 - 07.01.2024 04:00 (CET/CEST),mFRR,Not Specified,Not specified,92.0,77.53,EUR,MARGINAL
07.01.2024 04:00 - 07.01.2024 05:00 (CET/CEST),mFRR,Not Specified,Not specified,92.0,76.89,EUR,MARGINAL
07.01.2024 05:00 - 07.01.2024 06:00 (CET/CEST),mFRR,Not Specified,Not specified,92.0,77.42,EUR,MARGINAL
07.01.2024 06:00 - 07.01.2024 07:00 (CET/CEST),mFRR,Not Specified,Not specified,92.0,78.45,EUR,MARGINAL
07.01.2024 07:00 - 07.01.2024 08:00 (CET/CEST),mFRR,Not Specified,Not specified,90.0,80.37,EUR,MARGINAL
07.01.2024 08:00 - 07.01.2024 09:00 (CET/CEST),mFRR,Not Specified,Not specified,85.0,84.21,EUR,MARGINAL
07.01.2024 09:00 - 07.01.2024 10:00 (CET/CEST),mFRR,Not Specified,Not specified,90.0,87.57,EUR,MARGINAL
07.01.2024 10:00 - 07.01.2024 11:00 (CET/CEST),mFRR,Not Specified,Not specified,102.0,89.75,EUR,MARGINAL
07.01.2024 11:00 - 07.01.2024 12:00 (CET/CEST),mFRR,Not Specified,Not specified,102.0,91.99,EUR,MARGINAL
07.01.2024 12:00 - 07.01.2024 13:00 (CET/CEST),mFRR,Not Specified,Not specified,100.0,91.5,EUR,MARGINAL
07.01.2024 13:00 - 07.01.2024 14:00 (CET/CEST),mFRR,Not Specified,Not specified,100.0,87.52,EUR,MARGINAL
07.01.2024 14:00 - 07.01.2024 15:00 (CET/CEST),mFRR,Not Specified,Not specified,100.0,87.23,EUR,MARGINAL
07.01.2024 15:00 - 07.01.2024 16:00 (CET/CEST),mFRR,Not Specified,Not specified,100.0,90.64,EUR,MARGINAL
07.01.2024 16:00 - 07.01.2024 17:00 (CET/CEST),mFRR,Not Specified,Not specified,100.0,96.21,EUR,MARGINAL
07.01.2024 17:00 - 07.01.2024 18:00 (CET/CEST),mFRR,Not Specified,Not specified,201.11,104.27,EUR,MARGINAL
07.01.2024 18:00 - 07.01.2024 19:00 (CET/CEST),mFRR,Not Specified,Not specified,260.0,106.09,EUR,MARGINAL
07.01.2024 19:00 - 07.01.2024 20:00 (CET/CEST),mFRR,Not Specified,Not specified,179.0,103.55,EUR,MARGINAL
07.01.2024 20:00 - 07.01.2024 21:00 (CET/CEST),mFRR,Not Specified,Not specified,114.0,100.5,EUR,MARGINAL
07.01.2024 21:00 - 07.01.2024 22:00 (CET/CEST),mFRR,Not Specified,Not specified,114.0,93.31,EUR,MARGINAL
07.01.2024 22:00 - 07.01.2024 23:00 (CET/CEST),mFRR,Not Specified,Not specified,114.0,91.17,EUR,MARGINAL
07.01.2024 23:00 - 08.01.2024 00:00 (CET/CEST),mFRR,Not Specified,Not specified,113.0,83.86,EUR,MARGINAL
08.01.2024 00:00 - 08.01.2024 01:00 (CET/CEST),mFRR,Not Specified,Not specified,98.0,87.02,EUR,MARGINAL
08.01.2024 01:00 - 08.01.2024 02:00 (CET/CEST),mFRR,Not Specified,Not specified,84.32,84.32,EUR,MARGINAL
08.01.2024 02:00 - 08.01.2024 03:00 (CET/CEST),mFRR,Not Specified,Not specified,81.82,81.82,EUR,MARGINAL
08.01.2024 03:00 - 08.01.2024 04:00 (CET/CEST),mFRR,Not Specified,Not specified,87.0,80.63,EUR,MARGINAL
08.01.2024 04:00 - 08.01.2024 05:00 (CET/CEST),mFRR,Not Specified,Not specified,87.0,79.04,EUR,MARGINAL
08.01.2024 05:00 - 08.01.2024 06:00 (CET/CEST),mFRR,Not Specified,Not specified,82.1,82.1,EUR,MARGINAL
08.01.2024 06:00 - 08.01.2024 07:00 (CET/CEST),mFRR,Not Specified,Not specified,133.0,94.3,EUR,MARGINAL
08.01.2024 07:00 - 08.01.2024 08:00 (CET/CEST),mFRR,Not Specified,Not specified,499.12,111.22,EUR,MARGINAL
08.01.2024 08:00 - 08.01.2024 09:00 (CET/CEST),mFRR,Not Specified,Not specified,1206.14,121.11,EUR,MARGINAL
08.01.2024 09:00 - 08.01.2024 10:00 (CET/CEST),mFRR,Not Specified,Not specified,1205.86,120.73,EUR,MARGINAL
08.01.2024 10:00 - 08.01.2024 11:00 (CET/CEST),mFRR,Not Specified,Not specified,499.12,113.9,EUR,MARGINAL
08.01.2024 11:00 - 08.01.2024 12:00 (CET/CEST),mFRR,Not Specified,Not specified,293.0,105.54,EUR,MARGINAL
08.01.2024 12:00 - 08.01.2024 13:00 (CET/CEST),mFRR,Not Specified,Not specified,133.0,97.84,EUR,MARGINAL
08.01.2024 13:00 - 08.01.2024 14:00 (CET/CEST),mFRR,Not Specified,Not specified,94.88,93.0,EUR,MARGINAL
08.01.2024 14:00 - 08.01.2024 15:00 (CET/CEST),mFRR,Not Specified,Not specified,102.46,102.46,EUR,MARGINAL
08.01.2024 15:00 - 08.01.2024 16:00 (CET/CEST),mFRR,Not Specified,Not specified,110.64,91.18,EUR,MARGINAL
08.01.2024 16:00 - 08.01.2024 17:00 (CET/CEST),mFRR,Not Specified,Not specified,128.0,90.0,EUR,MARGINAL
08.01.2024 17:00 - 08.01.2024 18:00 (CET/CEST),mFRR,Not Specified,Not specified,132.31,132.31,EUR,MARGINAL
08.01.2024 18:00 - 08.01.2024 19:00 (CET/CEST),mFRR,Not Specified,Not specified,130.01,130.01,EUR,MARGINAL
08.01.2024 19:00 - 08.01.2024 20:00 (CET/CEST),mFRR,Not Specified,Not specified,129.0,122.12,EUR,MARGINAL
08.01.2024 20:00 - 08.01.2024 21:00 (CET/CEST),mFRR,Not Specified,Not specified,129.0,114.21,EUR,MARGINAL
08.01.2024 21:00 - 08.01.2024 22:00 (CET/CEST),mFRR,Not Specified,Not specified,129.0,99.85,EUR,MARGINAL
08.01.2024 22:00 - 08.01.2024 23:00 (CET/CEST),mFRR,Not Specified,Not specified,132.0,97.08,EUR,MARGINAL
