ISP (CET/CEST),Area,Reserve Type,Source,Type of Product,Price Type,Price Up (EUR/MWh),Price Down (EUR/MWh)
06/01/2023 08:00:00 - 06/01/2023 09:00:00,SCA|NO2,mFRR,Not Specified,Not Specified,MARGINAL,120.7,99.0
06/01/2023 09:00:00 - 06/01/2023 10:00:00,SCA|NO2,mFRR,Not Specified,Not Specified,MARGINAL,120.07,102.57
06/01/2023 10:00:00 - 06/01/2023 11:00:00,SCA|NO2,mFRR,Not Specified,Not Specified,MARGINAL,116.98,116.98
06/01/2023 11:00:00 - 06/01/2023 12:00:00,SCA|NO2,mFRR,Not Specified,Not Specified,MARGINAL,116.99,116.99
06/01/2023 12:00:00 - 06/01/2023 13:00:00,SCA|NO2,mFRR,Not Specified,Not Specified,MARGINAL,118.43,118.43
06/01/2023 13:00:00 - 06/01/2023 14:00:00,SCA|NO2,mFRR,Not Specified,Not Specified,MARGINAL,116.44,116.44
06/01/2023 14:00:00 - 06/01/2023 15:00:00,SCA|NO2,mFRR,Not Specified,Not Specified,MARGINAL,120.64,120.64
06/01/2023 15:00:00 - 06/01/2023 16:00:00,SCA|NO2,mFRR,Not Specified,Not Specified,MARGINAL,128.85,128.85
06/01/2023 16:00:00 - 06/01/2023 17:00:00,SCA|NO2,mFRR,Not Specified,Not Specified,MARGINAL,135.62,135.62
06/01/2023 17:00:00 - 06/01/2023 18:00:00,SCA|NO2,mFRR,Not Specified,Not Specified,MARGINAL,150.72,120.5
06/01/2023 18:00:00 - 06/01/2023 19:00:00,SCA|NO2,mFRR,Not Specified,Not Specified,MARGINAL,145.73,120.0
06/01/2023 19:00:00 - 06/01/2023 20:00:00,SCA|NO2,mFRR,Not Specified,Not Specified,MARGINAL,141.91,112.0
06/01/2023 20:00:00 - 06/01/2023 21:00:00,SCA|NO2,mFRR,Not Specified,Not Specified,MARGINAL,135.06,107.5
06/01/2023 21:00:00 - 06/01/2023 22:00:00,SCA|NO2,mFRR,Not Specified,Not Specified,MARGINAL,127.97,108.0
06/01/2023 22:00:00 - 06/01/2023 23:00:00,SCA|NO2,mFRR,Not Specified,Not Specified,MARGINAL,126.08,108.0
06/01/2023 23:00:00 - 07/01/2023 00:00:00,SCA|NO2,mFRR,Not Specified,Not Specified,MARGINAL,121.3,102.0
07/01/2023 00:00:00 - 07/01/2023 01:00:00,SCA|NO2,mFRR,Not Specified,Not Specified,MARGINAL,113.54,113.54
07/01/2023 01:00:00 - 07/01/2023 02:00:00,SCA|NO2,mFRR,Not Specified,Not Specified,MARGINAL,101.78,80.0
07/01/2023 02:00:00 - 07/01/2023 03:00:00,SCA|NO2,mFRR,Not Specified,Not Specified,MARGINAL,98.92,98.92
07/01/2023 03:00:00 - 07/01/2023 04:00:00,SCA|NO2,mFRR,Not Specified,Not Specified,MARGINAL,90.6,90.6
