AREA,'ISP','Reserve Type','Type of Product','Direction','Offered','Activated','Unavailable'
NO1 SCA,'13.09.2023 02:15 - 13.09.2023 02:30 (CET/CEST)','mFRR','Local','Down','130','0',''
NO1 SCA,'13.09.2023 02:30 - 13.09.2023 02:45 (CET/CEST)','mFRR','Local','Up','303','0',''
NO1 SCA,'13.09.2023 02:30 - 13.09.2023 02:45 (CET/CEST)','mFRR','Local','Down','130','0',''
NO1 SCA,'13.09.2023 02:45 - 13.09.2023 03:00 (CET/CEST)','mFRR','Local','Up','303','0',''
NO1 SCA,'13.09.2023 02:45 - 13.09.2023 03:00 (CET/CEST)','mFRR','Local','Down','130','0',''
NO1 SCA,'13.09.2023 03:00 - 13.09.2023 03:15 (CET/CEST)','mFRR','Local','Up','311','0',''
NO1 SCA,'13.09.2023 03:00 - 13.09.2023 03:15 (CET/CEST)','mFRR','Local','Down','130','0',''
NO1 SCA,'13.09.2023 03:15 - 13.09.2023 03:30 (CET/CEST)','mFRR','Local','Up','311','0',''
NO1 SCA,'13.09.2023 03:15 - 13.09.2023 03:30 (CET/CEST)','mFRR','Local','Down','130','0',''
NO1 SCA,'13.09.2023 03:30 - 13.09.2023 03:45 (CET/CEST)','mFRR','Local','Up','311','0',''
NO1 SCA,'13.09.2023 03:30 - 13.09.2023 03:45 (CET/CEST)','mFRR','Local','Down','130','0',''
NO1 SCA,'13.09.2023 03:45 - 13.09.2023 04:00 (CET/CEST)','mFRR','Local','Up','311','0',''
NO1 SCA,'13.09.2023 03:45 - 13.09.2023 04:00 (CET/CEST)','mFRR','Local','Down','130','0',''
NO1 SCA,'13.09.2023 04:00 - 13.09.2023 04:15 (CET/CEST)','mFRR','Local','Up','310','0',''
NO1 SCA,'13.09.2023 04:00 - 13.09.2023 04:15 (CET/CEST)','mFRR','Local','Down','130','0',''
NO1 SCA,'13.09.2023 04:15 - 13.09.2023 04:30 (CET/CEST)','mFRR','Local','Up','310','0',''
NO1 SCA,'13.09.2023 04:15 - 13.09.2023 04:30 (CET/CEST)','mFRR','Local','Down','130','0',''
NO1 SCA,'13.09.2023 04:30 - 13.09.2023 04:45 (CET/CEST)','mFRR','Local','Up','310','0',''
NO1 SCA,'13.09.2023 04:30 - 13.09.2023 04:45 (CET/CEST)','mFRR','Local','Down','130','0',''
NO1 SCA,'13.09.2023 04:45 - 13.09.2023 05:00 (CET/CEST)','mFRR','Local','Up','310','0',''
NO1 SCA,'13.09.2023 04:45 - 13.09.2023 05:00 (CET/CEST)','mFRR','Local','Down','130','0',''
NO1 SCA,'13.09.2023 05:00 - 13.09.2023 05:15 (CET/CEST)','mFRR','Local','Up','247','0',''
